fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,flight_speed,lat,long,condition
2018-07-14,UA,UA_CODESHARE,UA,5018,OO,N947SW,5018,14802,SHD,"Staunton, VA",13121,LWB,"Lewisburg, WV",1356,1430.0,34.0,7.0,1437.0,1457.0,3.0,1441,1500.0,19.0,0,,0,N,45,30.0,20.0,1,87,0.0,19.0,0.0,0.0,0.0,,,,,4.35,38.262526,-78.8999641,Clear
2018-09-25,UA,UA_CODESHARE,UA,5518,OO,N130SY,5518,13930,ORD,"Chicago, IL",10693,BNA,"Nashville, TN",1815,1821.0,6.0,63.0,1924.0,2026.0,9.0,1953,2035.0,42.0,0,,0,N,98,134.0,62.0,1,409,0.0,6.0,36.0,0.0,0.0,,,,,6.596774193548387,-17.7868996,127.6699982,Partially cloudy
2018-03-01,AA,AA_CODESHARE,AA,3315,MQ,N262NN,3315,11298,DFW,"Dallas/Fort Worth, TX",12992,LIT,"Little Rock, AR",720,902.0,102.0,40.0,942.0,1031.0,4.0,844,1035.0,111.0,0,,0,N,84,93.0,49.0,1,304,0.0,102.0,9.0,0.0,0.0,,,,,6.204081632653061,32.8965194,-97.0465221,"Rain, Partially cloudy"
2018-01-07,UA,UA_CODESHARE,UA,4568,G7,N170GJ,4568,13930,ORD,"Chicago, IL",13230,MDT,"Harrisburg, PA",1745,1805.0,20.0,53.0,1858.0,2112.0,2.0,2034,2114.0,40.0,0,,0,N,109,129.0,74.0,1,594,0.0,4.0,20.0,0.0,16.0,,,,,8.027027027027026,-17.7868996,127.6699982,"Rain, Partially cloudy"
2018-06-27,AA,AA,AA,1682,AA,N979AN,1682,11057,CLT,"Charlotte, NC",13303,MIA,"Miami, FL",2240,259.0,259.0,10.0,309.0,441.0,6.0,41,447.0,246.0,0,,0,N,121,108.0,92.0,1,650,0.0,14.0,0.0,0.0,232.0,,,,,7.065217391304348,35.2107415,-80.9457435,"Rain, Overcast"
2018-08-06,G4,G4,G4,154,G4,233NV,154,10466,AZA,"Phoenix, AZ",14716,SCK,"Stockton, CA",1252,1303.0,11.0,19.0,1322.0,1453.0,5.0,1438,1458.0,20.0,0,,0,N,106,115.0,91.0,1,625,0.0,11.0,9.0,0.0,0.0,,,,,6.868131868131868,33.3059145,-111.6526441,Clear
2019-11-11,NK,NK,NK,899,NK,N629NK,899,11433,DTW,"Detroit, MI",13204,MCO,"Orlando, FL",1645,1952.0,187.0,22.0,2014.0,2234.0,14.0,1930,2248.0,198.0,0,,0,N,165,176.0,140.0,1,957,0.0,7.0,191.0,0.0,0.0,1812.0,69.0,69.0,,6.835714285714285,42.2056991,-83.3529754,"Snow, Rain, Partially cloudy"
2018-07-14,DL,DL,DL,1418,DL,N310DN,1418,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",2220,2331.0,71.0,10.0,2341.0,37.0,5.0,2355,42.0,47.0,0,,0,N,95,71.0,56.0,1,404,0.0,5.0,0.0,0.0,42.0,,,,,7.214285714285714,33.6377988,-84.4292712,"Rain, Overcast"
2018-07-27,UA,UA,UA,1640,UA,N33266,1640,11618,EWR,"Newark, NJ",15304,TPA,"Tampa, FL",1755,2032.0,157.0,44.0,2116.0,2335.0,3.0,2049,2338.0,169.0,0,,0,N,174,186.0,139.0,1,997,0.0,88.0,12.0,0.0,69.0,,,,,7.172661870503597,40.689064,-74.1772549,"Rain, Partially cloudy"
2018-01-17,UA,UA_CODESHARE,UA,5857,OO,N780SK,5857,10372,ASE,"Aspen, CO",12266,IAH,"Houston, TX",1510,1533.0,23.0,29.0,1602.0,1900.0,10.0,1845,1910.0,25.0,0,,0,N,155,157.0,118.0,1,913,0.0,5.0,2.0,0.0,18.0,,,,,7.737288135593221,7.3610789,-2.3282951,Partially cloudy
2018-08-07,WN,WN,WN,2391,WN,N745SW,2391,15370,TUL,"Tulsa, OK",15016,STL,"St. Louis, MO",1700,1743.0,43.0,12.0,1755.0,1844.0,2.0,1805,1846.0,41.0,0,,0,N,65,63.0,49.0,1,351,0.0,33.0,0.0,0.0,8.0,,,,,7.163265306122449,36.19914,-95.8867384,"Rain, Partially cloudy"
2019-10-27,AA,AA_CODESHARE,AA,3383,MQ,N265NN,3383,11298,DFW,"Dallas/Fort Worth, TX",12992,LIT,"Little Rock, AR",658,856.0,118.0,17.0,913.0,1003.0,5.0,812,1008.0,116.0,0,,0,N,74,72.0,50.0,1,304,0.0,116.0,0.0,0.0,0.0,,,,,6.08,32.8965194,-97.0465221,Clear
