fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,flight_speed,lat,long,condition
2019-10-06,AA,AA_CODESHARE,AA,3826,MQ,N837AE,3826,11298,DFW,"Dallas/Fort Worth, TX",10185,AEX,"Alexandria, LA",2050,2314.0,144.0,14.0,2328.0,26.0,2.0,2205,28.0,143.0,0,,0,N,75,74.0,58.0,1,285,0.0,143.0,0.0,0.0,0.0,2124.0,68.0,68.0,,4.913793103448276,32.8965194,-97.0465221,Partially cloudy
2019-09-04,AA,AA_CODESHARE,AA,5120,OH,N253PS,5120,14100,PHL,"Philadelphia, PA",10874,CAK,"Akron, OH",1827,2108.0,161.0,36.0,2144.0,2247.0,4.0,2007,2251.0,164.0,0,,0,N,100,103.0,63.0,1,335,0.0,133.0,3.0,0.0,28.0,,,,,5.317460317460317,13.6818766,100.7485803,"Rain, Partially cloudy"
2019-07-04,UA,UA,UA,2135,UA,N45905,2135,11292,DEN,"Denver, CO",12264,IAD,"Washington, DC",1720,1909.0,109.0,53.0,2002.0,51.0,4.0,2237,55.0,138.0,0,,0,N,197,226.0,169.0,1,1452,0.0,109.0,29.0,0.0,0.0,,,,,8.591715976331361,12.1341164,-68.2761506,Partially cloudy
2018-08-08,UA,UA,UA,1157,UA,N66814,1157,12266,IAH,"Houston, TX",14747,SEA,"Seattle, WA",2132,2145.0,13.0,21.0,2206.0,2357.0,27.0,1,24.0,23.0,0,,0,N,269,279.0,231.0,1,1874,0.0,7.0,10.0,0.0,6.0,,,,,8.112554112554113,29.9841416,-95.332986,Partially cloudy
2018-04-16,DL,DL_CODESHARE,DL,4561,OO,N252SY,4561,14747,SEA,"Seattle, WA",14771,SFO,"San Francisco, CA",740,840.0,60.0,35.0,915.0,1058.0,3.0,1005,1101.0,56.0,0,,0,N,145,141.0,103.0,1,679,0.0,56.0,0.0,0.0,0.0,,,,,6.592233009708738,47.4475673,-122.3080159,"Rain, Overcast"
2019-01-01,WN,WN,WN,845,WN,N740SW,845,14107,PHX,"Phoenix, AZ",11540,ELP,"El Paso, TX",635,700.0,25.0,12.0,712.0,801.0,4.0,740,805.0,25.0,0,,0,N,65,65.0,49.0,1,347,0.0,25.0,0.0,0.0,0.0,,,,,7.081632653061225,33.4328907,-112.0094223,Partially cloudy
2018-06-03,DL,DL,DL,1778,DL,N922DL,1778,13244,MEM,"Memphis, TN",10397,ATL,"Atlanta, GA",1737,1810.0,33.0,16.0,1826.0,2023.0,5.0,2003,2028.0,25.0,0,,0,N,86,78.0,57.0,1,332,0.0,25.0,0.0,0.0,0.0,,,,,5.824561403508772,-37.0069119,174.7905338,"Rain, Partially cloudy"
2018-12-27,AA,AA,AA,407,AA,N938UW,407,11298,DFW,"Dallas/Fort Worth, TX",14107,PHX,"Phoenix, AZ",1210,1305.0,55.0,16.0,1321.0,1432.0,4.0,1352,1436.0,44.0,0,,0,N,162,151.0,131.0,1,868,0.0,18.0,0.0,0.0,26.0,,,,,6.625954198473282,32.8965194,-97.0465221,"Rain, Partially cloudy"
2019-01-12,AA,AA_CODESHARE,AA,3561,MQ,N230NN,3561,13930,ORD,"Chicago, IL",12992,LIT,"Little Rock, AR",2045,2049.0,4.0,46.0,2135.0,2254.0,5.0,2242,2259.0,17.0,0,,0,N,117,130.0,79.0,1,552,0.0,4.0,13.0,0.0,0.0,,,,,6.987341772151899,-17.7868996,127.6699982,"Rain, Partially cloudy"
2018-08-11,UA,UA,UA,991,UA,N33203,991,11618,EWR,"Newark, NJ",13204,MCO,"Orlando, FL",1551,1811.0,140.0,13.0,1824.0,2036.0,9.0,1848,2045.0,117.0,0,,0,N,177,154.0,132.0,1,937,0.0,74.0,0.0,0.0,43.0,,,,,7.098484848484849,40.689064,-74.1772549,"Rain, Overcast"
2018-11-25,DL,DL_CODESHARE,DL,3811,OO,N279SY,3811,13930,ORD,"Chicago, IL",12953,LGA,"New York, NY",1230,1257.0,27.0,31.0,1328.0,1600.0,7.0,1548,1607.0,19.0,0,,0,N,138,130.0,92.0,1,733,0.0,13.0,0.0,0.0,6.0,,,,,7.967391304347826,-17.7868996,127.6699982,"Rain, Partially cloudy"
2019-06-24,AA,AA,AA,1553,AA,N337PJ,1553,14908,SNA,"Santa Ana, CA",13930,ORD,"Chicago, IL",1510,1624.0,74.0,19.0,1643.0,2214.0,20.0,2119,2234.0,75.0,0,,0,N,249,250.0,211.0,1,1726,0.0,24.0,1.0,0.0,50.0,,,,,8.180094786729859,33.6742056,-117.8680148,Partially cloudy
2018-10-08,DL,DL_CODESHARE,DL,3652,OO,N280SY,3652,13930,ORD,"Chicago, IL",12953,LGA,"New York, NY",1730,1733.0,3.0,83.0,1856.0,2148.0,8.0,2038,2156.0,78.0,0,,0,N,128,203.0,112.0,1,733,0.0,3.0,75.0,0.0,0.0,,,,,6.544642857142857,-17.7868996,127.6699982,Partially cloudy
2019-04-25,DL,DL_CODESHARE,DL,4834,OO,N823SK,4834,10781,BTR,"Baton Rouge, LA",10397,ATL,"Atlanta, GA",1450,1803.0,193.0,24.0,1827.0,2039.0,23.0,1721,2102.0,221.0,0,,0,N,91,119.0,72.0,1,448,0.0,1.0,28.0,0.0,192.0,,,,,6.222222222222222,47.8429763,106.7667562,Partially cloudy
2019-05-23,AA,AA_CODESHARE,AA,4022,MQ,N837AE,4022,11298,DFW,"Dallas/Fort Worth, TX",11111,COU,"Columbia, MO",1715,1804.0,49.0,13.0,1817.0,1926.0,7.0,1854,1933.0,39.0,0,,0,N,99,89.0,69.0,1,489,0.0,39.0,0.0,0.0,0.0,,,,,7.086956521739131,32.8965194,-97.0465221,Partially cloudy
2019-08-30,AA,AA_CODESHARE,AA,4165,MQ,N266NN,4165,10781,BTR,"Baton Rouge, LA",11298,DFW,"Dallas/Fort Worth, TX",1412,1827.0,255.0,12.0,1839.0,1940.0,13.0,1544,1953.0,249.0,0,,0,N,92,86.0,61.0,1,383,0.0,249.0,0.0,0.0,0.0,,,,,6.278688524590164,47.8429763,106.7667562,Clear
2019-05-27,UA,UA_CODESHARE,UA,4862,ZW,N424AW,4862,13930,ORD,"Chicago, IL",11612,EVV,"Evansville, IN",1405,1505.0,60.0,29.0,1534.0,1619.0,4.0,1519,1623.0,64.0,0,,0,N,74,78.0,45.0,1,272,0.0,60.0,4.0,0.0,0.0,,,,,6.044444444444444,-17.7868996,127.6699982,Partially cloudy
2018-07-22,WN,WN,WN,5382,WN,N7860A,5382,11697,FLL,"Fort Lauderdale, FL",13232,MDW,"Chicago, IL",2115,2150.0,35.0,27.0,2217.0,24.0,6.0,2320,30.0,70.0,0,,0,N,185,220.0,187.0,1,1167,0.0,30.0,35.0,0.0,5.0,,,,,6.240641711229946,26.072017,-80.1509967,"Rain, Partially cloudy"
2018-01-14,UA,UA_CODESHARE,UA,4838,C5,N11181,4838,11618,EWR,"Newark, NJ",12451,JAX,"Jacksonville, FL",855,959.0,64.0,28.0,1027.0,1249.0,4.0,1140,1253.0,73.0,0,,0,N,165,174.0,142.0,1,820,0.0,64.0,9.0,0.0,0.0,,,,,5.774647887323944,40.689064,-74.1772549,Partially cloudy
2018-08-08,B6,B6,B6,1215,B6,N328JB,1215,10721,BOS,"Boston, MA",10792,BUF,"Buffalo, NY",1520,1558.0,38.0,27.0,1625.0,1734.0,6.0,1652,1740.0,48.0,0,,0,N,92,102.0,69.0,1,395,0.0,38.0,10.0,0.0,0.0,,,,,5.72463768115942,12.1335634,-68.276194,Partially cloudy
2018-01-17,DL,DL,DL,2111,DL,N939DN,2111,10397,ATL,"Atlanta, GA",15304,TPA,"Tampa, FL",1530,1909.0,219.0,13.0,1922.0,2026.0,3.0,1658,2029.0,211.0,0,,0,N,88,80.0,64.0,1,406,0.0,96.0,0.0,0.0,115.0,,,,,6.34375,33.6377988,-84.4292712,"Snow, Partially cloudy"
2018-07-18,AA,AA_CODESHARE,AA,5347,OH,N260JS,5347,10208,AGS,"Augusta, GA",11057,CLT,"Charlotte, NC",1450,1630.0,100.0,15.0,1645.0,1713.0,15.0,1556,1728.0,92.0,0,,0,N,66,58.0,28.0,1,140,0.0,7.0,0.0,0.0,85.0,,,,,5.0,-17.9225264,31.0970037,Partially cloudy
2019-12-29,UA,UA,UA,1834,UA,N847UA,1834,12266,IAH,"Houston, TX",15376,TUS,"Tucson, AZ",1940,2104.0,84.0,14.0,2118.0,2235.0,4.0,2125,2239.0,74.0,0,,0,N,165,155.0,137.0,1,936,0.0,25.0,0.0,0.0,49.0,,,,,6.832116788321168,29.9841416,-95.332986,"Rain, Partially cloudy"
2018-06-07,WN,WN,WN,791,WN,N957WN,791,15370,TUL,"Tulsa, OK",14107,PHX,"Phoenix, AZ",1030,1043.0,13.0,11.0,1054.0,1116.0,6.0,1100,1122.0,22.0,0,,0,N,150,159.0,142.0,1,935,0.0,13.0,9.0,0.0,0.0,,,,,6.584507042253521,36.19914,-95.8867384,"Rain, Partially cloudy"
2019-02-01,WN,WN,WN,1709,WN,N8632A,1709,10821,BWI,"Baltimore, MD",15304,TPA,"Tampa, FL",1750,1957.0,127.0,31.0,2028.0,2231.0,4.0,2025,2235.0,130.0,0,,0,N,155,158.0,123.0,1,842,0.0,2.0,3.0,0.0,125.0,,,,,6.845528455284553,39.1828341,-76.6698273,"Snow, Partially cloudy"
